,LSOA,LSOA Name,IMDDecile,IMDRank,Healthfulness (Median),Daily Opening Hours,Vehicle Accessibility
178,E01006748,Liverpool 031C E01006748,2.0,6451.0,,,0.36
179,E01006783,Liverpool 002E E01006783,2.0,3981.0,0.8,11.428571428571429,0.61
180,E01006657,Liverpool 002C E01006657,2.0,3495.0,,,0.55
181,E01006656,Liverpool 002B E01006656,2.0,5473.0,-1.0,13.857142857142858,0.61
182,E01006788,Liverpool 006B E01006788,2.0,5240.0,,,0.64
183,E01032511,Liverpool 008G E01032511,2.0,3367.0,,,0.68
184,E01006785,Liverpool 003D E01006785,2.0,3399.0,,,0.61
185,E01006784,Liverpool 003C E01006784,2.0,5617.0,-1.0,7.928571428571429,0.62
186,E01006782,Liverpool 003B E01006782,2.0,4426.0,,,0.6
187,E01006654,Liverpool 005A E01006654,3.0,7111.0,0.4,6.428571428571429,0.65
188,E01033754,Liverpool 061B E01033754,3.0,7525.0,,,0.45
189,E01006619,Liverpool 021B E01006619,3.0,9726.0,,,0.67
190,E01006671,Liverpool 013D E01006671,3.0,6888.0,,,0.73
191,E01006627,Liverpool 013C E01006627,3.0,6670.0,,,0.7
192,E01006639,Liverpool 017C E01006639,3.0,6713.0,,,0.7
193,E01006626,Liverpool 016E E01006626,3.0,9492.0,-1.0,10.0,0.74
194,E01006568,Liverpool 026B E01006568,3.0,8033.0,,,0.72
195,E01006717,Liverpool 027D E01006717,3.0,7831.0,0.10000000000000003,21.0,0.73
196,E01006719,Liverpool 027F E01006719,3.0,7677.0,,,0.62
197,E01006566,Liverpool 032A E01006566,3.0,7323.0,,7.714285714285714,0.7
198,E01006584,Liverpool 034E E01006584,3.0,8580.0,,,0.74
199,E01006554,Liverpool 048F E01006554,3.0,8733.0,,8.0,0.54
200,E01006550,Liverpool 038A E01006550,3.0,9528.0,-1.0,11.714285714285714,0.63
201,E01006587,Liverpool 032D E01006587,3.0,9560.0,,,0.7
202,E01006521,Liverpool 052A E01006521,3.0,9780.0,,,0.61
203,E01006629,Liverpool 052E E01006629,3.0,7284.0,,,0.64
204,E01006528,Liverpool 052C E01006528,3.0,8753.0,,,0.66
205,E01006681,Liverpool 054D E01006681,3.0,8168.0,,12.5,0.67
206,E01006534,Liverpool 054A E01006534,3.0,7047.0,,,0.68
207,E01006743,Liverpool 058D E01006743,3.0,7096.0,1.75,11.714285714285714,0.6
208,E01006533,Liverpool 055C E01006533,3.0,9749.0,,,0.72
209,E01006793,Liverpool 051A E01006793,3.0,8125.0,,,0.65
210,E01006799,Liverpool 051E E01006799,3.0,7354.0,1.75,11.857142857142858,0.53
211,E01006780,Liverpool 002D E01006780,3.0,6754.0,,,0.67
212,E01033758,Liverpool 060B E01033758,3.0,7769.0,0.4,12.857142857142858,0.14
213,E01006543,Liverpool 015B E01006543,3.0,9246.0,0.8,15.0,0.72
214,E01033757,Liverpool 037E E01033757,3.0,7675.0,0.8,15.0,0.23
215,E01006652,Liverpool 002A E01006652,3.0,8152.0,,,0.67
216,E01006625,Liverpool 016D E01006625,4.0,11227.0,-0.8,8.571428571428571,0.71
217,E01033760,Liverpool 060C E01033760,4.0,11379.0,0.4,11.142857142857142,0.19
218,E01006513,Liverpool 060A E01006513,4.0,11173.0,0.8,16.0,0.32
219,E01006620,Liverpool 021C E01006620,4.0,10423.0,0.8,15.0,0.68
220,E01006570,Liverpool 026C E01006570,4.0,10735.0,0.4,10.285714285714286,0.76
221,E01006640,Liverpool 021F E01006640,4.0,12861.0,1.75,12.857142857142858,0.78
222,E01006617,Liverpool 021A E01006617,4.0,11443.0,-0.09999999999999998,10.0,0.7
223,E01006641,Liverpool 025C E01006641,4.0,12042.0,,,0.83
224,E01006590,Liverpool 042D E01006590,4.0,12199.0,,,0.65
225,E01006526,Liverpool 048C E01006526,4.0,11662.0,,,0.72
226,E01006628,Liverpool 052D E01006628,4.0,12745.0,1.75,14.142857142857142,0.67
227,E01032507,Liverpool 050H E01032507,4.0,10594.0,-1.0,10.714285714285714,0.62
228,E01033766,Liverpool 042G E01033766,4.0,12842.0,,,0.67
229,E01006688,Liverpool 056E E01006688,4.0,11454.0,0.4,12.857142857142858,0.7
230,E01006537,Liverpool 055D E01006537,4.0,11474.0,-0.8,11.857142857142858,0.71
231,E01006747,Liverpool 031B E01006747,4.0,11477.0,,,0.3
232,E01006669,Liverpool 004E E01006669,5.0,13388.0,,,0.84
233,E01006670,Liverpool 007E E01006670,5.0,16109.0,,,0.87
234,E01006665,Liverpool 007A E01006665,5.0,14894.0,,,0.87
235,E01006576,Liverpool 034B E01006576,5.0,14643.0,,,0.78
236,E01033761,Liverpool 060D E01033761,5.0,13373.0,0.8,16.0,0.35
237,E01006557,Liverpool 038B E01006557,5.0,13973.0,1.75,18.571428571428573,0.54
238,E01006724,Liverpool 038F E01006724,5.0,13760.0,,,0.63
239,E01006593,Liverpool 042E E01006593,5.0,13810.0,1.75,13.714285714285714,0.68
240,E01006553,Liverpool 042A E01006553,5.0,13148.0,,,0.69
241,E01006578,Liverpool 036A E01006578,5.0,16222.0,0.8,15.0,0.82
242,E01033762,Liverpool 060E E01033762,5.0,14802.0,0.8,17.0,0.25
243,E01006529,Liverpool 048D E01006529,5.0,15598.0,-1.0,12.0,0.76
244,E01006527,Liverpool 053A E01006527,5.0,14462.0,,,0.7
245,E01006595,Liverpool 049B E01006595,5.0,14769.0,,0.0,0.69
246,E01006687,Liverpool 056D E01006687,5.0,14413.0,,,0.71
247,E01006538,Liverpool 055E E01006538,5.0,13396.0,0.8,8.0,0.79
248,E01006512,Liverpool 031A E01006512,5.0,14664.0,,,0.33
249,E01006781,Liverpool 003A E01006781,5.0,15131.0,,,0.76
250,E01006623,Liverpool 013A E01006623,6.0,19293.0,,,0.9
251,E01033756,Liverpool 061C E01033756,6.0,18895.0,1.275,14.714285714285714,0.43
252,E01006621,Liverpool 021D E01006621,6.0,16696.0,,,0.84
253,E01006773,Liverpool 036D E01006773,6.0,16445.0,,,0.86
254,E01006591,Liverpool 041C E01006591,6.0,16739.0,-1.0,12.714285714285714,0.75
255,E01006577,Liverpool 034C E01006577,6.0,18337.0,,,0.83
256,E01033748,Liverpool 050I E01033748,6.0,19243.0,,,0.76
257,E01033749,Liverpool 042F E01033749,6.0,19700.0,,,0.22
258,E01006596,Liverpool 049C E01006596,6.0,18828.0,-0.8,8.642857142857142,0.74
259,E01006685,Liverpool 056C E01006685,6.0,17486.0,,,0.82
260,E01033755,Liverpool 062D E01033755,6.0,16540.0,,,0.5
261,E01006794,Liverpool 046B E01006794,6.0,18018.0,,,0.82
262,E01006801,Liverpool 046D E01006801,6.0,18740.0,,,0.84
263,E01006666,Liverpool 007B E01006666,7.0,20752.0,,,0.89
264,E01006589,Liverpool 041B E01006589,7.0,20894.0,,,0.82
265,E01006579,Liverpool 034D E01006579,7.0,22156.0,,,0.84
266,E01006800,Liverpool 046C E01006800,7.0,20777.0,0.4,12.857142857142858,0.84
267,E01006689,Liverpool 049D E01006689,7.0,21926.0,,,0.78
268,E01006683,Liverpool 053D E01006683,7.0,22111.0,,,0.87
269,E01033750,Liverpool 061A E01033750,7.0,22439.0,,,0.77
270,E01006686,Liverpool 053E E01006686,7.0,21518.0,,,0.85
271,E01006531,Liverpool 055B E01006531,7.0,21586.0,,,0.76
272,E01006795,Liverpool 051B E01006795,7.0,20576.0,,6.857142857142857,0.83
273,E01006792,Liverpool 046A E01006792,7.0,20588.0,,,0.86
274,E01006798,Liverpool 051D E01006798,7.0,20182.0,1.75,13.714285714285714,0.82
275,E01006651,Liverpool 001A E01006651,7.0,21700.0,,,0.88
276,E01006668,Liverpool 007D E01006668,8.0,23517.0,,,0.88
277,E01006622,Liverpool 021E E01006622,8.0,25534.0,,,0.86
278,E01006582,Liverpool 041A E01006582,8.0,25907.0,,,0.88
279,E01006580,Liverpool 036B E01006580,8.0,23437.0,,,0.9
280,E01006581,Liverpool 036C E01006581,8.0,23942.0,-1.0,11.0,0.83
281,E01006774,Liverpool 036E E01006774,8.0,23016.0,,,0.85
282,E01006592,Liverpool 041D E01006592,8.0,24149.0,,,0.84
283,E01006519,Liverpool 056A E01006519,8.0,24274.0,,,0.86
284,E01006684,Liverpool 056B E01006684,8.0,25216.0,,,0.84
285,E01006525,Liverpool 049A E01006525,8.0,25797.0,,,0.88
286,E01006597,Liverpool 041E E01006597,8.0,24488.0,,,0.81
287,E01006539,Liverpool 047B E01006539,8.0,24374.0,,,0.91
288,E01006532,Liverpool 047A E01006532,8.0,23114.0,,,0.92
289,E01006682,Liverpool 053C E01006682,8.0,26062.0,0.8,15.0,0.9
290,E01006680,Liverpool 053B E01006680,8.0,23378.0,0.8,12.714285714285715,0.88
291,E01033752,Liverpool 062B E01033752,8.0,25826.0,0.8,17.0,0.41
292,E01006530,Liverpool 055A E01006530,8.0,23398.0,,,0.8
293,E01033753,Liverpool 062C E01033753,8.0,24501.0,,,0.54
294,E01006796,Liverpool 047E E01006796,9.0,28772.0,,,0.92
295,E01006594,Liverpool 047D E01006594,9.0,28228.0,,,0.87
296,E01006524,Liverpool 048B E01006524,9.0,27925.0,,,0.77
297,E01006583,Liverpool 047C E01006583,10.0,31562.0,,,0.93
298,E01004798,,,,1.75,12.857142857142858,
299,E01004848,,,,1.75,15.428571428571429,
300,E01004869,,,,1.75,13.714285714285714,
301,E01005599,,,,1.75,13.714285714285714,
302,E01005671,,,,1.75,13.714285714285714,
303,E01006091,,,,1.75,10.428571428571429,
304,E01006223,,,,-0.8,7.714285714285714,
305,E01006299,,,,1.75,13.714285714285714,
306,E01006305,,,,1.75,13.714285714285714,
307,E01006319,,,,0.4,12.857142857142858,
308,E01006332,,,,0.4,12.857142857142858,
309,E01006333,,,,0.4,10.285714285714286,
310,E01006359,,,,0.4,12.857142857142858,
311,E01006368,,,,-0.6,15.0,
312,E01006369,,,,0.4,12.857142857142858,
313,E01006370,,,,0.4,10.285714285714286,
314,E01006403,,,,0.475,12.714285714285714,
315,E01006414,,,,-1.0,11.857142857142858,
316,E01006426,,,,0.4,12.857142857142858,
317,E01006437,,,,-0.8,8.5,
318,E01006446,,,,-0.6,24.0,
319,E01006450,,,,-1.0,12.857142857142858,
320,E01006453,,,,,0.0,
321,E01006463,,,,-0.8,11.142857142857142,
322,E01006470,,,,0.4,12.857142857142858,
323,E01006472,,,,-1.0,13.714285714285714,
324,E01006478,,,,,6.714285714285714,
325,E01006481,,,,-0.8,8.571428571428571,
326,E01006486,,,,,0.0,
327,E01006487,,,,0.8,15.0,
328,E01006510,,,,0.6000000000000001,13.928571428571429,
329,E01006802,,,,0.8,16.0,
330,E01006806,,,,-0.6,24.0,
331,E01006811,,,,0.8,15.0,
332,E01006822,,,,0.8,16.0,
333,E01006832,,,,-0.2,9.571428571428571,
334,E01006834,,,,1.75,13.714285714285714,
335,E01006838,,,,0.4,10.285714285714286,
336,E01006853,,,,-0.6,24.0,
337,E01006857,,,,0.8,15.0,
338,E01006877,,,,0.4,12.0,
339,E01006883,,,,0.8,15.0,
340,E01006895,,,,0.8,13.714285714285714,
341,E01006910,,,,-0.6,16.0,
342,E01006912,,,,-0.6,12.857142857142858,
343,E01006920,,,,0.8,13.714285714285714,
344,E01006934,,,,0.8,16.0,
345,E01006946,,,,0.8,15.428571428571429,
346,E01006956,,,,-0.6,4.285714285714286,
347,E01006958,,,,0.8,13.714285714285714,
348,E01006964,,,,0.4,12.857142857142858,
349,E01006968,,,,1.075,11.571428571428571,
350,E01006971,,,,-0.6,15.0,
351,E01006977,,,,-0.6,15.0,
352,E01006987,,,,-0.6,24.0,
353,E01006992,,,,0.8,15.0,
